日期,品种,合约,合约月份,席位,多头持仓,空头持仓,净持仓,净持仓方向,多头增减仓,空头增减仓
20260105,豆油,y2609,09,一德期货,1203,0,1203,净多,10,0
20260105,豆油,y2609,09,中信期货,1065,832,233,净多,-16,234
20260105,豆油,y2609,09,中粮期货,0,7905,-7905,净空,0,1200
20260105,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260105,豆油,y2609,09,国泰君安期货,1720,6025,-4305,净空,-175,-43
20260105,豆油,y2609,09,摩根大通期货,938,1369,-431,净空,50,0
20260105,豆油,y2609,09,永安期货,733,987,-254,净空,78,151
20260105,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260105,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260106,豆油,y2609,09,一德期货,7878,0,7878,净多,6675,0
20260106,豆油,y2609,09,中信期货,1763,1358,405,净多,698,526
20260106,豆油,y2609,09,中粮期货,0,13903,-13903,净空,0,5998
20260106,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260106,豆油,y2609,09,国泰君安期货,3438,6556,-3118,净空,1718,531
20260106,豆油,y2609,09,摩根大通期货,1399,1369,30,净多,461,0
20260106,豆油,y2609,09,永安期货,1049,3273,-2224,净空,316,2286
20260106,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260106,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260107,豆油,y2609,09,一德期货,10761,0,10761,净多,2883,0
20260107,豆油,y2609,09,中信期货,2526,967,1559,净多,763,-391
20260107,豆油,y2609,09,中粮期货,0,18243,-18243,净空,0,4340
20260107,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260107,豆油,y2609,09,国泰君安期货,3997,4690,-693,净空,559,-1866
20260107,豆油,y2609,09,摩根大通期货,1671,1369,302,净多,272,0
20260107,豆油,y2609,09,永安期货,1062,4011,-2949,净空,13,738
20260107,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260107,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260108,豆油,y2609,09,一德期货,11917,0,11917,净多,1156,0
20260108,豆油,y2609,09,中信期货,2533,992,1541,净多,7,25
20260108,豆油,y2609,09,中粮期货,964,18425,-17461,净空,601,182
20260108,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260108,豆油,y2609,09,国泰君安期货,4429,4390,39,净多,432,-300
20260108,豆油,y2609,09,摩根大通期货,1676,2249,-573,净空,5,880
20260108,豆油,y2609,09,永安期货,1049,3077,-2028,净空,-13,-934
20260108,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260108,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260109,豆油,y2609,09,一德期货,11913,0,11913,净多,-4,0
20260109,豆油,y2609,09,中信期货,3063,1429,1634,净多,530,437
20260109,豆油,y2609,09,中粮期货,1134,18411,-17277,净空,170,-14
20260109,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260109,豆油,y2609,09,国泰君安期货,5160,4400,760,净多,731,10
20260109,豆油,y2609,09,摩根大通期货,3544,1761,1783,净多,1868,-488
20260109,豆油,y2609,09,永安期货,1088,5023,-3935,净空,39,1946
20260109,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260109,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260112,豆油,y2609,09,一德期货,12606,0,12606,净多,693,0
20260112,豆油,y2609,09,中信期货,2665,1391,1274,净多,-398,-38
20260112,豆油,y2609,09,中粮期货,1218,18360,-17142,净空,84,-51
20260112,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260112,豆油,y2609,09,国泰君安期货,5117,4295,822,净多,-43,-105
20260112,豆油,y2609,09,摩根大通期货,3534,1761,1773,净多,-10,0
20260112,豆油,y2609,09,永安期货,1171,3571,-2400,净空,83,-1452
20260112,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260112,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260113,豆油,y2609,09,一德期货,13148,0,13148,净多,542,0
20260113,豆油,y2609,09,中信期货,3717,1537,2180,净多,1052,146
20260113,豆油,y2609,09,中粮期货,1009,20756,-19747,净空,-209,2396
20260113,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260113,豆油,y2609,09,国泰君安期货,5530,4357,1173,净多,413,62
20260113,豆油,y2609,09,摩根大通期货,5091,2331,2760,净多,1557,570
20260113,豆油,y2609,09,永安期货,1220,3009,-1789,净空,49,-562
20260113,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260113,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260114,豆油,y2609,09,一德期货,16059,0,16059,净多,2911,0
20260114,豆油,y2609,09,中信期货,4450,1935,2515,净多,733,398
20260114,豆油,y2609,09,中粮期货,1160,20310,-19150,净空,151,-446
20260114,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260114,豆油,y2609,09,国泰君安期货,5154,4289,865,净多,-376,-68
20260114,豆油,y2609,09,摩根大通期货,4511,2140,2371,净多,-580,-191
20260114,豆油,y2609,09,永安期货,1279,1620,-341,净空,59,-1389
20260114,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260114,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260115,豆油,y2609,09,一德期货,16159,0,16159,净多,100,0
20260115,豆油,y2609,09,中信期货,4693,2508,2185,净多,243,573
20260115,豆油,y2609,09,中粮期货,1799,22836,-21037,净空,639,2526
20260115,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260115,豆油,y2609,09,国泰君安期货,4731,4453,278,净多,-423,164
20260115,豆油,y2609,09,摩根大通期货,4491,2140,2351,净多,-20,0
20260115,豆油,y2609,09,永安期货,1397,1522,-125,净空,118,-98
20260115,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260115,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260116,豆油,y2609,09,一德期货,18172,0,18172,净多,2013,0
20260116,豆油,y2609,09,中信期货,5110,2417,2693,净多,417,-91
20260116,豆油,y2609,09,中粮期货,1690,23748,-22058,净空,-109,912
20260116,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260116,豆油,y2609,09,国泰君安期货,4733,4694,39,净多,2,241
20260116,豆油,y2609,09,摩根大通期货,4691,2140,2551,净多,200,0
20260116,豆油,y2609,09,永安期货,2006,1383,623,净多,609,-139
20260116,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260116,豆油,y2609,09,高盛期货,966,0,966,净多,-18,0
20260119,豆油,y2609,09,一德期货,18452,0,18452,净多,280,0
20260119,豆油,y2609,09,中信期货,5612,2481,3131,净多,502,64
20260119,豆油,y2609,09,中粮期货,1924,23287,-21363,净空,234,-461
20260119,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260119,豆油,y2609,09,国泰君安期货,5537,5000,537,净多,804,306
20260119,豆油,y2609,09,摩根大通期货,4721,2140,2581,净多,30,0
20260119,豆油,y2609,09,永安期货,2024,1428,596,净多,18,45
20260119,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260119,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260120,豆油,y2609,09,一德期货,18449,0,18449,净多,-3,0
20260120,豆油,y2609,09,中信期货,5934,2533,3401,净多,322,52
20260120,豆油,y2609,09,中粮期货,2203,25419,-23216,净空,279,2132
20260120,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260120,豆油,y2609,09,国泰君安期货,6145,4504,1641,净多,608,-496
20260120,豆油,y2609,09,摩根大通期货,4778,2140,2638,净多,57,0
20260120,豆油,y2609,09,永安期货,2034,1365,669,净多,10,-63
20260120,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260120,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260121,豆油,y2609,09,一德期货,19552,0,19552,净多,1103,0
20260121,豆油,y2609,09,中信期货,7136,2005,5131,净多,1202,-528
20260121,豆油,y2609,09,中粮期货,2856,26673,-23817,净空,653,1254
20260121,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260121,豆油,y2609,09,国泰君安期货,5675,4594,1081,净多,-470,90
20260121,豆油,y2609,09,摩根大通期货,4955,2140,2815,净多,177,0
20260121,豆油,y2609,09,永安期货,2051,1366,685,净多,17,1
20260121,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260121,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260122,豆油,y2609,09,一德期货,20676,0,20676,净多,1124,0
20260122,豆油,y2609,09,中信期货,8826,1999,6827,净多,1690,-6
20260122,豆油,y2609,09,中粮期货,2972,34841,-31869,净空,116,8168
20260122,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260122,豆油,y2609,09,国泰君安期货,6417,6906,-489,净空,742,2312
20260122,豆油,y2609,09,摩根大通期货,4955,2405,2550,净多,0,265
20260122,豆油,y2609,09,永安期货,2260,1371,889,净多,209,5
20260122,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260122,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260123,豆油,y2609,09,一德期货,21392,0,21392,净多,716,0
20260123,豆油,y2609,09,中信期货,8768,1989,6779,净多,-58,-10
20260123,豆油,y2609,09,中粮期货,3658,38612,-34954,净空,686,3771
20260123,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260123,豆油,y2609,09,国泰君安期货,6300,7914,-1614,净空,-117,1008
20260123,豆油,y2609,09,摩根大通期货,4958,2405,2553,净多,3,0
20260123,豆油,y2609,09,永安期货,2977,2648,329,净多,717,1277
20260123,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260123,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260126,豆油,y2609,09,一德期货,21922,0,21922,净多,530,0
20260126,豆油,y2609,09,中信期货,9562,2169,7393,净多,794,180
20260126,豆油,y2609,09,中粮期货,5020,41819,-36799,净空,1362,3207
20260126,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260126,豆油,y2609,09,国泰君安期货,6986,8074,-1088,净空,686,160
20260126,豆油,y2609,09,摩根大通期货,4973,2405,2568,净多,15,0
20260126,豆油,y2609,09,永安期货,2996,2660,336,净多,19,12
20260126,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260126,豆油,y2609,09,高盛期货,0,0,0,持平,0,0
20260127,豆油,y2609,09,一德期货,22087,0,22087,净多,165,0
20260127,豆油,y2609,09,中信期货,10053,2075,7978,净多,491,-94
20260127,豆油,y2609,09,中粮期货,5382,44052,-38670,净空,362,2233
20260127,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260127,豆油,y2609,09,国泰君安期货,7079,8149,-1070,净空,93,75
20260127,豆油,y2609,09,摩根大通期货,5320,3323,1997,净多,347,918
20260127,豆油,y2609,09,永安期货,2870,3806,-936,净空,-126,1146
20260127,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260127,豆油,y2609,09,高盛期货,4348,0,4348,净多,3613,0
20260128,豆油,y2609,09,一德期货,22890,0,22890,净多,803,0
20260128,豆油,y2609,09,中信期货,9779,2219,7560,净多,-274,144
20260128,豆油,y2609,09,中粮期货,5570,46334,-40764,净空,188,2282
20260128,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260128,豆油,y2609,09,国泰君安期货,6963,8222,-1259,净空,-116,73
20260128,豆油,y2609,09,摩根大通期货,5489,3645,1844,净多,169,322
20260128,豆油,y2609,09,永安期货,2892,3793,-901,净空,22,-13
20260128,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260128,豆油,y2609,09,高盛期货,7851,0,7851,净多,3503,0
20260129,豆油,y2609,09,一德期货,24542,0,24542,净多,1652,0
20260129,豆油,y2609,09,中信期货,10254,2220,8034,净多,475,1
20260129,豆油,y2609,09,中粮期货,6511,52838,-46327,净空,941,6504
20260129,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260129,豆油,y2609,09,国泰君安期货,8407,9726,-1319,净空,1444,1504
20260129,豆油,y2609,09,摩根大通期货,5488,5276,212,净多,-1,1631
20260129,豆油,y2609,09,永安期货,2971,3825,-854,净空,79,32
20260129,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260129,豆油,y2609,09,高盛期货,9634,0,9634,净多,1783,0
20260130,豆油,y2609,09,一德期货,28586,0,28586,净多,4044,0
20260130,豆油,y2609,09,中信期货,9759,2247,7512,净多,-495,27
20260130,豆油,y2609,09,中粮期货,6251,54075,-47824,净空,-260,1237
20260130,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260130,豆油,y2609,09,国泰君安期货,9250,9162,88,净多,843,-564
20260130,豆油,y2609,09,摩根大通期货,6459,6215,244,净多,971,939
20260130,豆油,y2609,09,永安期货,2981,3785,-804,净空,10,-40
20260130,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260130,豆油,y2609,09,高盛期货,9689,0,9689,净多,55,0
20260202,豆油,y2609,09,一德期货,29025,1234,27791,净多,439,1218
20260202,豆油,y2609,09,中信期货,9669,2351,7318,净多,-90,104
20260202,豆油,y2609,09,中粮期货,6432,56918,-50486,净空,181,2843
20260202,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260202,豆油,y2609,09,国泰君安期货,7539,9695,-2156,净空,-1711,533
20260202,豆油,y2609,09,摩根大通期货,6852,5298,1554,净多,393,-917
20260202,豆油,y2609,09,永安期货,3516,3764,-248,净空,535,-21
20260202,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260202,豆油,y2609,09,高盛期货,9725,0,9725,净多,36,0
20260203,豆油,y2609,09,一德期货,28577,1231,27346,净多,-448,-3
20260203,豆油,y2609,09,中信期货,9843,2409,7434,净多,174,58
20260203,豆油,y2609,09,中粮期货,7472,59916,-52444,净空,1040,2998
20260203,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260203,豆油,y2609,09,国泰君安期货,8324,9153,-829,净空,785,-542
20260203,豆油,y2609,09,摩根大通期货,6852,5554,1298,净多,0,256
20260203,豆油,y2609,09,永安期货,3592,4981,-1389,净空,76,1217
20260203,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260203,豆油,y2609,09,高盛期货,9722,0,9722,净多,-3,0
20260204,豆油,y2609,09,一德期货,29847,1231,28616,净多,1270,0
20260204,豆油,y2609,09,中信期货,10154,2417,7737,净多,311,8
20260204,豆油,y2609,09,中粮期货,8524,59918,-51394,净空,1052,2
20260204,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260204,豆油,y2609,09,国泰君安期货,8985,9851,-866,净空,661,698
20260204,豆油,y2609,09,摩根大通期货,6849,6914,-65,净空,-3,1360
20260204,豆油,y2609,09,永安期货,4141,4981,-840,净空,549,0
20260204,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260204,豆油,y2609,09,高盛期货,9720,0,9720,净多,-2,0
20260205,豆油,y2609,09,一德期货,33188,1231,31957,净多,3341,0
20260205,豆油,y2609,09,中信期货,9913,2512,7401,净多,-241,95
20260205,豆油,y2609,09,中粮期货,8176,60099,-51923,净空,-348,181
20260205,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260205,豆油,y2609,09,国泰君安期货,10124,12706,-2582,净空,1139,2855
20260205,豆油,y2609,09,摩根大通期货,7591,11241,-3650,净空,742,4327
20260205,豆油,y2609,09,永安期货,4123,5577,-1454,净空,-18,596
20260205,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260205,豆油,y2609,09,高盛期货,9740,0,9740,净多,20,0
20260206,豆油,y2609,09,一德期货,33263,1231,32032,净多,75,0
20260206,豆油,y2609,09,中信期货,9691,2560,7131,净多,-222,48
20260206,豆油,y2609,09,中粮期货,8273,60246,-51973,净空,97,147
20260206,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260206,豆油,y2609,09,国泰君安期货,9557,12528,-2971,净空,-567,-178
20260206,豆油,y2609,09,摩根大通期货,7695,11241,-3546,净空,104,0
20260206,豆油,y2609,09,永安期货,4336,6077,-1741,净空,213,500
20260206,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
20260206,豆油,y2609,09,高盛期货,9750,0,9750,净多,10,0
20260209,豆油,y2609,09,一德期货,32572,1231,31341,净多,-691,0
20260209,豆油,y2609,09,中信期货,9564,2653,6911,净多,-127,93
20260209,豆油,y2609,09,中粮期货,8267,60498,-52231,净空,-6,252
20260209,豆油,y2609,09,乾坤期货,0,0,0,持平,0,0
20260209,豆油,y2609,09,国泰君安期货,9282,10084,-802,净空,-275,-2444
20260209,豆油,y2609,09,摩根大通期货,9617,11241,-1624,净空,1922,0
20260209,豆油,y2609,09,永安期货,4272,6077,-1805,净空,-64,0
20260209,豆油,y2609,09,瑞银期货,0,0,0,持平,0,0
