日期,品种,合约,合约月份,席位,多头持仓,空头持仓,净持仓,净持仓方向,多头增减仓,空头增减仓
20260105,豆粕,m2609,09,中粮期货,9400,35269,-25869,净空,147,0
20260105,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260105,豆粕,m2609,09,摩根大通期货,4852,14366,-9514,净空,29,-115
20260105,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260105,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260105,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260105,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260105,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260106,豆粕,m2609,09,中粮期货,10429,35310,-24881,净空,1029,41
20260106,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260106,豆粕,m2609,09,摩根大通期货,5698,13966,-8268,净空,846,-400
20260106,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260106,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260106,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260106,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260106,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260107,豆粕,m2609,09,中粮期货,14638,34468,-19830,净空,4209,-842
20260107,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260107,豆粕,m2609,09,摩根大通期货,5965,14966,-9001,净空,267,1000
20260107,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260107,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260107,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260107,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260107,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260108,豆粕,m2609,09,中粮期货,16383,34889,-18506,净空,1745,421
20260108,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260108,豆粕,m2609,09,摩根大通期货,6252,17191,-10939,净空,287,2225
20260108,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260108,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260108,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260108,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260108,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260109,豆粕,m2609,09,中粮期货,16529,36100,-19571,净空,146,1211
20260109,豆粕,m2609,09,乾坤期货,0,0,0,持平,0,0
20260109,豆粕,m2609,09,摩根大通期货,16832,18627,-1795,净空,10580,1436
20260109,豆粕,m2609,09,瑞银期货,0,0,0,持平,0,0
20260109,豆粕,m2611,11,中粮期货,0,0,0,持平,0,0
20260109,豆粕,m2611,11,乾坤期货,0,0,0,持平,0,0
20260109,豆粕,m2611,11,摩根大通期货,0,0,0,持平,0,0
20260109,豆粕,m2611,11,瑞银期货,0,0,0,持平,0,0
20260112,豆粕,m2609,09,中粮期货,17153,36216,-19063,净空,624,116
