日期,品种,合约,合约月份,席位,多头持仓,空头持仓,净持仓,净持仓方向,多头增减仓,空头增减仓
20260121,菜油,OI2609,09,中粮期货,865,4507,-3642,净空,617,1386
20260121,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260121,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260121,菜油,OI2609,09,瑞银期货,5147,0,5147,净多,1534,0
20260122,菜油,OI2609,09,中粮期货,857,4865,-4008,净空,-8,358
20260122,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260122,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260122,菜油,OI2609,09,瑞银期货,5147,0,5147,净多,0,0
20260123,菜油,OI2609,09,中粮期货,1082,4865,-3783,净空,225,0
20260123,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260123,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260123,菜油,OI2609,09,瑞银期货,4009,0,4009,净多,-1138,0
20260126,菜油,OI2609,09,中粮期货,1799,6214,-4415,净空,717,1349
20260126,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260126,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260126,菜油,OI2609,09,瑞银期货,654,0,654,净多,-3355,0
20260127,菜油,OI2609,09,中粮期货,1561,6444,-4883,净空,-238,230
20260127,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260127,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260127,菜油,OI2609,09,瑞银期货,664,0,664,净多,10,0
20260128,菜油,OI2609,09,中粮期货,1607,6523,-4916,净空,46,79
20260128,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260128,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260128,菜油,OI2609,09,瑞银期货,735,0,735,净多,71,0
20260129,菜油,OI2609,09,中粮期货,1437,6615,-5178,净空,-170,92
20260129,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260129,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260129,菜油,OI2609,09,瑞银期货,735,0,735,净多,0,0
20260130,菜油,OI2609,09,中粮期货,1708,6830,-5122,净空,271,215
20260130,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260130,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260130,菜油,OI2609,09,瑞银期货,753,0,753,净多,18,0
20260202,菜油,OI2609,09,中粮期货,1959,6697,-4738,净空,251,-133
20260202,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260202,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260202,菜油,OI2609,09,瑞银期货,753,0,753,净多,0,0
20260203,菜油,OI2609,09,中粮期货,2189,7031,-4842,净空,230,334
20260203,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260203,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260203,菜油,OI2609,09,瑞银期货,746,0,746,净多,-7,0
20260204,菜油,OI2609,09,中粮期货,2229,7220,-4991,净空,40,189
20260204,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260204,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260204,菜油,OI2609,09,瑞银期货,739,0,739,净多,-7,0
20260205,菜油,OI2609,09,中粮期货,3014,7102,-4088,净空,785,-118
20260205,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260205,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260205,菜油,OI2609,09,瑞银期货,739,0,739,净多,0,0
20260206,菜油,OI2609,09,中粮期货,3350,7236,-3886,净空,336,134
20260206,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260206,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260206,菜油,OI2609,09,瑞银期货,739,0,739,净多,0,0
20260209,菜油,OI2609,09,中粮期货,3220,7329,-4109,净空,-130,93
20260209,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260209,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260209,菜油,OI2609,09,瑞银期货,738,0,738,净多,-1,0
20260210,菜油,OI2609,09,中粮期货,3012,7400,-4388,净空,-208,71
20260210,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260210,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260210,菜油,OI2609,09,瑞银期货,738,0,738,净多,0,0
20260211,菜油,OI2609,09,中粮期货,2779,6361,-3582,净空,-233,-1039
20260211,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260211,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260211,菜油,OI2609,09,瑞银期货,738,0,738,净多,0,0
20260212,菜油,OI2609,09,中粮期货,2611,6163,-3552,净空,-168,-198
20260212,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260212,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260212,菜油,OI2609,09,瑞银期货,738,0,738,净多,0,0
20260213,菜油,OI2609,09,中粮期货,2497,5832,-3335,净空,-114,-331
20260213,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260213,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260213,菜油,OI2609,09,瑞银期货,738,0,738,净多,0,0
20260224,菜油,OI2609,09,中粮期货,2532,6112,-3580,净空,35,280
20260224,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260224,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260224,菜油,OI2609,09,瑞银期货,738,0,738,净多,0,0
20260225,菜油,OI2609,09,中粮期货,2413,6442,-4029,净空,-119,330
20260225,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260225,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260225,菜油,OI2609,09,瑞银期货,738,0,738,净多,0,0
20260226,菜油,OI2609,09,中粮期货,2450,5966,-3516,净空,37,-476
20260226,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260226,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260226,菜油,OI2609,09,瑞银期货,738,0,738,净多,0,0
20260227,菜油,OI2609,09,中粮期货,2340,5927,-3587,净空,-110,-39
20260227,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260227,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260227,菜油,OI2609,09,瑞银期货,738,0,738,净多,0,0
20260302,菜油,OI2609,09,中粮期货,2364,7490,-5126,净空,24,1563
20260302,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260302,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260302,菜油,OI2609,09,瑞银期货,706,0,706,净多,-32,0
20260303,菜油,OI2609,09,中粮期货,3085,7775,-4690,净空,721,285
20260303,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260303,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260303,菜油,OI2609,09,瑞银期货,706,1500,-794,净空,0,1500
20260304,菜油,OI2609,09,中粮期货,3837,8358,-4521,净空,752,583
20260304,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260304,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260304,菜油,OI2609,09,瑞银期货,706,2000,-1294,净空,0,500
20260305,菜油,OI2609,09,中粮期货,4143,8437,-4294,净空,306,79
20260305,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260305,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260305,菜油,OI2609,09,瑞银期货,657,2000,-1343,净空,-49,0
20260306,菜油,OI2609,09,中粮期货,4371,10107,-5736,净空,228,1670
20260306,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260306,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260306,菜油,OI2609,09,瑞银期货,0,2000,-2000,净空,0,0
20260309,菜油,OI2609,09,中粮期货,3531,6118,-2587,净空,-840,-3989
20260309,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
